0x506e1fbfe0a130f7421e00cbffb9308b1f8d9f82 130.04
0xfe4c4a27bed5e9113480c84a177068f7421a1eb7 121.22
0x279d1194c9766fe2101de5a832c865936912302b 121.22
0xc73c0dba7da986244417d00431d1a211616cefae 120.61
0x83302723edf15abc86511d59fb050cc6806f4992 120.61
0xa3f63807ccd0249402a2119041c90546906c1550 548.05
0x9d8ea93a353623d5bf28c9904cc61a831d307587 468.63
0x2c419966590863eeac3666cff65358e50de590a1 186.09
0xc910e251df1dd164fd3005c4ae17e0d37ef128c0 182.23
0xf981a18e8ea76d6629f094731cd9fca73abecda7 156.01
0x88b71294c66cbcb077a4626921fd8b8df6ecf042 153.96
